id,hullId,name,spriteId,unlockedAutomatically,tags,unlockConditions,description
# id: Required. The id of the paintjob. Must be unique. Prefix with your mod id.,,,,,,,
# hullId: Required. The id of the hull that this paintjob applies to. Must be a valid hull id.,,,,,,,
# name: Required. The name of the paintjob.,,,,,,,
# spriteId: Required. The path or spriteName of the ship sprite.,,,,,,,
# unlockedAutomatically: Optional, default true. If true, the paintjob is unlocked by default. Otherwise, it must be manually unlocked using code (e.g. in achievement complete code).,,,,
# tags: Optional, currently unused.,,,,,,
# unlockConditions: Optional, default none. How to unlock the paintjob. Aim for one or two sentences.,,,,,,
# description: Optional, default none. The description of the paintjob. Aim for one or two sentences.,,,,,,
,,,,,,,
# Example,,,,,,,
# magiclib_examplePaintjob," ""onslaught""",Oldslaught,graphics/ships/oldslaught.png,FALSE,,Complete the 'Slayer' achievement to unlock.,Original Onslaught sprite.
#Diable Rim Alliance Paint,,,,,,,
CPW_vapor_dra,diableavionics_vapor,Diable Rim Alliance,graphics/dra/ships/diableavionics_vapor.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_sleet_dra,diableavionics_sleet,Diable Rim Alliance,graphics/dra/ships/diableavionics_sleet.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_stratus_p_dra,diableavionics_stratus_p,Diable Rim Alliance,graphics/dra/ships/diableavionics_stratus_p.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_hayle_dra,diableavionics_hayle,Diable Rim Alliance,graphics/dra/ships/diableavionics_hayle.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_calm_dra,diableavionics_calm,Diable Rim Alliance,graphics/dra/ships/diableavionics_calm_deck.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_derecho_dra,diableavionics_derecho,Diable Rim Alliance,graphics/dra/ships/diableavionics_derecho.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_daze_dra,diableavionics_daze,Diable Rim Alliance,graphics/dra/ships/diableavionics_daze.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_haze_dra,diableavionics_haze,Diable Rim Alliance,graphics/dra/ships/diableavionics_haze.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_rime_m_dra,diableavionics_rime_m,Diable Rim Alliance,graphics/dra/ships/diableavionics_rime_military.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_rime_p_dra,diableavionics_rime_p,Diable Rim Alliance,graphics/dra/ships/diableavionics_rime_p.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_gust_dra,diableavionics_gust,Diable Rim Alliance,graphics/dra/ships/diableavionics_gust.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_fractus_dra,diableavionics_fractus,Diable Rim Alliance,graphics/dra/ships/diableavionics_fractus.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_miniGust_dra,diableavionics_miniGust,Diable Rim Alliance,graphics/dra/ships/diableavionics_minigust.png,TRUE,,Unlocked by Default.,by Tartiflette.
#CPW_storm_dra,diableavionics_storm,Diable Rim Alliance,graphics/dra/ships/diableavionics_storm.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_maelstorm_dra,diableavionics_maelstrom,Diable Rim Alliance,graphics/dra/ships/diableavionics_maelstrom.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_pandemonium_dra,diableavionics_pandemonium,Diable Rim Alliance,graphics/dra/ships/diableavionics_pandemonium.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_stratus_dra,diableavionics_stratus,Diable Rim Alliance,graphics/dra/ships/diableavionics_stratus.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_chinook_dra,diableavionics_chinook,Diable Rim Alliance,graphics/dra/ships/diableavionics_chinook.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_cirrus_dra,diableavionics_cirrus,Diable Rim Alliance,graphics/dra/ships/diableavionics_cirrus.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_shear_dra,diableavionics_shear,Diable Rim Alliance,graphics/dra/ships/diableavionics_shear.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_laminar_dra,diableavionics_laminar,Diable Rim Alliance,graphics/dra/ships/diableavionics_laminar.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_rime_dra,diableavionics_rime,Diable Rim Alliance,graphics/dra/ships/diableavionics_rime.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_IBBgulf_dra,diableavionics_IBBgulf,Diable Rim Alliance,graphics/dra/ships/gulf/diableavionics_IBBgulf.png,TRUE,,Unlocked by Default.,by Tartiflette.
