id,hullId,name,spriteId,unlockedAutomatically,tags,unlockConditions,description
# id: Required. The id of the paintjob. Must be unique. Prefix with your mod id.,,,,,,,
# hullId: Required. The id of the hull that this paintjob applies to. Must be a valid hull id.,,,,,,,
# name: Required. The name of the paintjob.,,,,,,,
# spriteId: Required. The path or spriteName of the ship sprite.,,,,,,,
# unlockedAutomatically: Optional, default true. If true, the paintjob is unlocked by default. Otherwise, it must be manually unlocked using code (e.g. in achievement complete code).,,,,
# tags: Optional, currently unused.,,,,,,
# unlockConditions: Optional, default none. How to unlock the paintjob. Aim for one or two sentences.,,,,,,
# description: Optional, default none. The description of the paintjob. Aim for one or two sentences.,,,,,,
,,,,,,,
# Example,,,,,,,
# magiclib_examplePaintjob," ""onslaught""",Oldslaught,graphics/ships/oldslaught.png,FALSE,,Complete the 'Slayer' achievement to unlock.,Original Onslaught sprite.
#Navy Paint,,,,,,,
CPW_vapor_navy,diableavionics_vapor,Navy,graphics/navy/ships/diableavionics_vapor.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_sleet_navy,diableavionics_sleet,Navy,graphics/navy/ships/diableavionics_sleet.png,TRUE,,Unlocked by Default.,by Tartiflette.
#CPW_stratus_p_navy,diableavionics_stratus_p,Navy,graphics/navy/ships/diableavionics_stratus_p.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_hayle_navy,diableavionics_hayle,Navy,graphics/navy/ships/diableavionics_hayle.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_calm_navy,diableavionics_calm,Navy,graphics/navy/ships/diableavionics_calm_deck.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_derecho_navy,diableavionics_derecho,Navy,graphics/navy/ships/diableavionics_derecho.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_daze_navy,diableavionics_daze,Navy,graphics/navy/ships/diableavionics_daze.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_haze_navy,diableavionics_haze,Navy,graphics/navy/ships/diableavionics_haze.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_rime_m_navy,diableavionics_rime_m,Navy,graphics/navy/ships/diableavionics_rime_military.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_rime_p_navy,diableavionics_rime_p,Navy,graphics/navy/ships/diableavionics_rime_p.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_gust_navy,diableavionics_gust,Navy,graphics/navy/ships/diableavionics_gust.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_fractus_navy,diableavionics_fractus,Navy,graphics/navy/ships/diableavionics_fractus.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_miniGust_navy,diableavionics_miniGust,Navy,graphics/navy/ships/diableavionics_minigust.png,TRUE,,Unlocked by Default.,by Tartiflette.
#CPW_storm_navy,diableavionics_storm,Navy,graphics/navy/ships/diableavionics_storm.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_maelstorm_navy,diableavionics_maelstrom,Navy,graphics/navy/ships/diableavionics_maelstrom.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_pandemonium_navy,diableavionics_pandemonium,Navy,graphics/navy/ships/diableavionics_pandemonium.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_stratus_navy,diableavionics_stratus,Navy,graphics/navy/ships/diableavionics_stratus.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_chinook_navy,diableavionics_chinook,Navy,graphics/navy/ships/diableavionics_chinook.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_cirrus_navy,diableavionics_cirrus,Navy,graphics/navy/ships/diableavionics_cirrus.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_shear_navy,diableavionics_shear,Navy,graphics/navy/ships/diableavionics_shear.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_laminar_navy,diableavionics_laminar,Navy,graphics/navy/ships/diableavionics_laminar.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_rime_navy,diableavionics_rime,Navy,graphics/navy/ships/diableavionics_rime.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_IBBgulf_navy,diableavionics_IBBgulf,Navy,graphics/navy/ships/gulf/diableavionics_IBBgulf.png,TRUE,,Unlocked by Default.,by Tartiflette.
