id,hullId,name,spriteId,unlockedAutomatically,tags,unlockConditions,description
# id: Required. The id of the paintjob. Must be unique. Prefix with your mod id.,,,,,,,
# hullId: Required. The id of the hull that this paintjob applies to. Must be a valid hull id.,,,,,,,
# name: Required. The name of the paintjob.,,,,,,,
# spriteId: Required. The path or spriteName of the ship sprite.,,,,,,,
# unlockedAutomatically: Optional, default true. If true, the paintjob is unlocked by default. Otherwise, it must be manually unlocked using code (e.g. in achievement complete code).,,,,
# tags: Optional, currently unused.,,,,,,
# unlockConditions: Optional, default none. How to unlock the paintjob. Aim for one or two sentences.,,,,,,
# description: Optional, default none. The description of the paintjob. Aim for one or two sentences.,,,,,,
,,,,,,,
# Example,,,,,,,
# magiclib_examplePaintjob," ""onslaught""",Oldslaught,graphics/ships/oldslaught.png,FALSE,,Complete the 'Slayer' achievement to unlock.,Original Onslaught sprite.
#Royal Blue Paint,,,,,,,
CPW_vapor_royalblue,diableavionics_vapor,Royal Blue,graphics/royalblue/ships/diableavionics_vapor.png,TRUE,,Unlocked by Default.,by Nia Tahl.
CPW_sleet_royalblue,diableavionics_sleet,Royal Blue,graphics/royalblue/ships/diableavionics_sleet.png,TRUE,,Unlocked by Default.,by Nia Tahl.
#CPW_stratus_p_royalblue,diableavionics_stratus_p,Royal Blue,graphics/royalblue/ships/diableavionics_stratus_p.png,TRUE,,Unlocked by Default.,by Nia Tahl.
CPW_hayle_royalblue,diableavionics_hayle,Royal Blue,graphics/royalblue/ships/diableavionics_hayle.png,TRUE,,Unlocked by Default.,by Nia Tahl.
CPW_calm_royalblue,diableavionics_calm,Royal Blue,graphics/royalblue/ships/diableavionics_calm_deck.png,TRUE,,Unlocked by Default.,by Nia Tahl.
CPW_derecho_royalblue,diableavionics_derecho,Royal Blue,graphics/royalblue/ships/diableavionics_derecho.png,TRUE,,Unlocked by Default.,by Nia Tahl.
CPW_daze_royalblue,diableavionics_daze,Royal Blue,graphics/royalblue/ships/diableavionics_daze.png,TRUE,,Unlocked by Default.,by Nia Tahl.
CPW_haze_royalblue,diableavionics_haze,Royal Blue,graphics/royalblue/ships/diableavionics_haze.png,TRUE,,Unlocked by Default.,by Nia Tahl.
CPW_rime_m_royalblue,diableavionics_rime_m,Royal Blue,graphics/royalblue/ships/diableavionics_rime_military.png,TRUE,,Unlocked by Default.,by Nia Tahl.
#CPW_rime_p_royalblue,diableavionics_rime_p,Royal Blue,graphics/royalblue/ships/diableavionics_rime_p.png,TRUE,,Unlocked by Default.,by Nia Tahl.
CPW_gust_royalblue,diableavionics_gust,Royal Blue,graphics/royalblue/ships/diableavionics_gust.png,TRUE,,Unlocked by Default.,by Nia Tahl.
CPW_fractus_royalblue,diableavionics_fractus,Royal Blue,graphics/royalblue/ships/diableavionics_fractus.png,TRUE,,Unlocked by Default.,by Nia Tahl.
CPW_miniGust_royalblue,diableavionics_miniGust,Royal Blue,graphics/royalblue/ships/diableavionics_minigust.png,TRUE,,Unlocked by Default.,by Nia Tahl.
#CPW_storm_royalblue,diableavionics_storm,Royal Blue,graphics/royalblue/ships/diableavionics_storm.png,TRUE,,Unlocked by Default.,by Nia Tahl.
CPW_maelstorm_royalblue,diableavionics_maelstrom,Royal Blue,graphics/royalblue/ships/diableavionics_maelstrom.png,TRUE,,Unlocked by Default.,by Nia Tahl.
CPW_pandemonium_royalblue,diableavionics_pandemonium,Royal Blue,graphics/royalblue/ships/diableavionics_pandemonium.png,TRUE,,Unlocked by Default.,by Nia Tahl.
CPW_stratus_royalblue,diableavionics_stratus,Royal Blue,graphics/royalblue/ships/diableavionics_stratus.png,TRUE,,Unlocked by Default.,by Nia Tahl.
CPW_chinook_royalblue,diableavionics_chinook,Royal Blue,graphics/royalblue/ships/diableavionics_chinook.png,TRUE,,Unlocked by Default.,by Nia Tahl.
CPW_cirrus_royalblue,diableavionics_cirrus,Royal Blue,graphics/royalblue/ships/diableavionics_cirrus.png,TRUE,,Unlocked by Default.,by Nia Tahl.
CPW_shear_royalblue,diableavionics_shear,Royal Blue,graphics/royalblue/ships/diableavionics_shear.png,TRUE,,Unlocked by Default.,by Nia Tahl.
CPW_laminar_royalblue,diableavionics_laminar,Royal Blue,graphics/royalblue/ships/diableavionics_laminar.png,TRUE,,Unlocked by Default.,by Nia Tahl.
CPW_rime_royalblue,diableavionics_rime,Royal Blue,graphics/royalblue/ships/diableavionics_rime.png,TRUE,,Unlocked by Default.,by Nia Tahl.
CPW_IBBgulf_royalblue,diableavionics_IBBgulf,Royal Blue,graphics/royalblue/ships/gulf/diableavionics_IBBgulf.png,TRUE,,Unlocked by Default.,by Nia Tahl.
