id,hullId,name,spriteId,unlockedAutomatically,tags,unlockConditions,description
# id: Required. The id of the paintjob. Must be unique. Prefix with your mod id.,,,,,,,
# hullId: Required. The id of the hull that this paintjob applies to. Must be a valid hull id.,,,,,,,
# name: Required. The name of the paintjob.,,,,,,,
# spriteId: Required. The path or spriteName of the ship sprite.,,,,,,,
# unlockedAutomatically: Optional, default true. If true, the paintjob is unlocked by default. Otherwise, it must be manually unlocked using code (e.g. in achievement complete code).,,,,
# tags: Optional, currently unused.,,,,,,
# unlockConditions: Optional, default none. How to unlock the paintjob. Aim for one or two sentences.,,,,,,
# description: Optional, default none. The description of the paintjob. Aim for one or two sentences.,,,,,,
,,,,,,,
# Example,,,,,,,
# magiclib_examplePaintjob," ""onslaught""",Oldslaught,graphics/ships/oldslaught.png,FALSE,,Complete the 'Slayer' achievement to unlock.,Original Onslaught sprite.
#Snow Blast Paint,,,,,,,
CPW_vapor_snowblast,diableavionics_vapor,Snow Blast,graphics/snowblast/ships/diableavionics_vapor.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_sleet_snowblast,diableavionics_sleet,Snow Blast,graphics/snowblast/ships/diableavionics_sleet.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_stratus_p_snowblast,diableavionics_stratus_p,Snow Blast,graphics/snowblast/ships/diableavionics_stratus_p.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_hayle_snowblast,diableavionics_hayle,Snow Blast,graphics/snowblast/ships/diableavionics_hayle.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_calm_snowblast,diableavionics_calm,Snow Blast,graphics/snowblast/ships/diableavionics_calm_deck.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_derecho_snowblast,diableavionics_derecho,Snow Blast,graphics/snowblast/ships/diableavionics_derecho.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_daze_snowblast,diableavionics_daze,Snow Blast,graphics/snowblast/ships/diableavionics_daze.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_haze_snowblast,diableavionics_haze,Snow Blast,graphics/snowblast/ships/diableavionics_haze.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_rime_m_snowblast,diableavionics_rime_m,Snow Blast,graphics/snowblast/ships/diableavionics_rime_military.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_rime_p_snowblast,diableavionics_rime_p,Snow Blast,graphics/snowblast/ships/diableavionics_rime_p.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_gust_snowblast,diableavionics_gust,Snow Blast,graphics/snowblast/ships/diableavionics_gust.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_fractus_snowblast,diableavionics_fractus,Snow Blast,graphics/snowblast/ships/diableavionics_fractus.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_miniGust_snowblast,diableavionics_miniGust,Snow Blast,graphics/snowblast/ships/diableavionics_minigust.png,TRUE,,Unlocked by Default.,by Tartiflette.
#CPW_storm_snowblast,diableavionics_storm,Snow Blast,graphics/snowblast/ships/diableavionics_storm.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_maelstorm_snowblast,diableavionics_maelstrom,Snow Blast,graphics/snowblast/ships/diableavionics_maelstrom.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_pandemonium_snowblast,diableavionics_pandemonium,Snow Blast,graphics/snowblast/ships/diableavionics_pandemonium.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_stratus_snowblast,diableavionics_stratus,Snow Blast,graphics/snowblast/ships/diableavionics_stratus.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_chinook_snowblast,diableavionics_chinook,Snow Blast,graphics/snowblast/ships/diableavionics_chinook.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_cirrus_snowblast,diableavionics_cirrus,Snow Blast,graphics/snowblast/ships/diableavionics_cirrus.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_shear_snowblast,diableavionics_shear,Snow Blast,graphics/snowblast/ships/diableavionics_shear.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_laminar_snowblast,diableavionics_laminar,Snow Blast,graphics/snowblast/ships/diableavionics_laminar.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_rime_snowblast,diableavionics_rime,Snow Blast,graphics/snowblast/ships/diableavionics_rime.png,TRUE,,Unlocked by Default.,by Tartiflette.
CPW_IBBgulf_snowblast,diableavionics_IBBgulf,Snow Blast,graphics/snowblast/ships/gulf/diableavionics_IBBgulf.png,TRUE,,Unlocked by Default.,by Tartiflette.
