id,hullId,name,spriteId,unlockedAutomatically,tags,unlockConditions,description,notes,
# id: Required. The id of the paintjob. Must be unique. Prefix with your mod id.,,,,,,,,,
# hullId: Required. The id of the hull that this paintjob applies to. Must be a valid hull id.,,,,,,,,,
# name: Required. The name of the paintjob.,,,,,,,,,
# spriteId: Required. The path or spriteName of the ship sprite.,,,,,,,,,
# unlockedAutomatically: Optional, default true. If true, the paintjob is unlocked by default. Otherwise, it must be manually unlocked using code (e.g. in achievement complete code).,,,,,,
# tags: Optional, currently unused.,,,,,,,,
# unlockConditions: Optional, default none. How to unlock the paintjob. Aim for one or two sentences.,,,,,,,,
# description: Optional, default none. The description of the paintjob. Aim for one or two sentences.,,,,,,,,
,,,,,,,,,
# Example,,,,,,,,,
# magiclib_examplePaintjob," ""onslaught""",Olslaught,graphics/ships/oldslaught.png,FALSE,,Complete the 'Slayer' achievement to unlock.,Original Onslaught sprite.,multipart ship cannot use.,Missing Skin in Pack.
#FRIGATE,,,,,,,,,
CPW_mirth_aquamarine,ora_mirth,Aquamarine,graphics/aquamarine/ships/ora_mirth.png,TRUE,,Unlocked by Default.,by Tartiflette.,,
CPW_bliss_aquamarine,ora_bliss,Aquamarine,graphics/aquamarine/ships/ora_bliss.png,TRUE,,Unlocked by Default.,by Tartiflette.,,
CPW_ascension_aquamarine,ora_ascension,Aquamarine,graphics/aquamarine/ships/ora_ascension.png,TRUE,,Unlocked by Default.,by Tartiflette.,,
#DESTROYER,,,,,,,,,
CPW_harmony_aquamarine,ora_harmony,Aquamarine,graphics/aquamarine/ships/ora_harmony.png,TRUE,,Unlocked by Default.,by Tartiflette.,,
CPW_grace_aquamarine,ora_grace,Aquamarine,graphics/aquamarine/ships/ora_grace.png,TRUE,,Unlocked by Default.,by Tartiflette.,,
CPW_sanctuary_aquamarine,ora_sanctuary,Aquamarine,graphics/aquamarine/ships/ora_sanctuary.png,TRUE,,Unlocked by Default.,by Tartiflette.,,
CPW_communion_aquamarine,ora_communion,Aquamarine,graphics/aquamarine/ships/ora_communion.png,TRUE,,Unlocked by Default.,by Tartiflette.,,
#CRUSIER,,,,,,,,,
CPW_beatitude_aquamarine,ora_beatitude,Aquamarine,graphics/aquamarine/ships/ora_beatitude.png,TRUE,,Unlocked by Default.,by Tartiflette.,,
CPW_revelation_aquamarine,ora_revelation,Aquamarine,graphics/aquamarine/ships/ora_revelation.png,TRUE,,Unlocked by Default.,by Tartiflette.,,
CPW_elevation_aquamarine,ora_elevation,Aquamarine,graphics/aquamarine/ships/ora_elevation.png,TRUE,,Unlocked by Default.,by Tartiflette.,,
CPW_felicity_aquamarine,ora_felicity,Aquamarine,graphics/aquamarine/ships/ora_felicity.png,TRUE,,Unlocked by Default.,by Tartiflette.,,
#CAPITAL,,,,,,,,,
CPW_enlightenment_aquamarine,ora_enlightenment,Aquamarine,graphics/aquamarine/ships/ora_enlightenment.png,TRUE,,Unlocked by Default.,by Tartiflette.,,
CPW_discernment_aquamarine,ora_discernment,Aquamarine,graphics/aquamarine/ships/ora_discernment.png,TRUE,,Unlocked by Default.,by Tartiflette.,,
