id,hullId,name,spriteId,unlockedAutomatically,tags,unlockConditions,description,notes,
# id: Required. The id of the paintjob. Must be unique. Prefix with your mod id.,,,,,,,,,
# hullId: Required. The id of the hull that this paintjob applies to. Must be a valid hull id.,,,,,,,,,
# name: Required. The name of the paintjob.,,,,,,,,,
# spriteId: Required. The path or spriteName of the ship sprite.,,,,,,,,,
# unlockedAutomatically: Optional, default true. If true, the paintjob is unlocked by default. Otherwise, it must be manually unlocked using code (e.g. in achievement complete code).,,,,,,
# tags: Optional, currently unused.,,,,,,,,
# unlockConditions: Optional, default none. How to unlock the paintjob. Aim for one or two sentences.,,,,,,,,
# description: Optional, default none. The description of the paintjob. Aim for one or two sentences.,,,,,,,,
,,,,,,,,,
# Example,,,,,,,,,
# magiclib_examplePaintjob," ""onslaught""",Olslaught,graphics/ships/oldslaught.png,FALSE,,Complete the 'Slayer' achievement to unlock.,Original Onslaught sprite.,multipart ship cannot use.,Missing Skin in Pack.
#FRIGATE,,,,,,,,,
CPW_mirth_ceremonial,ora_mirth,Ceremonial,graphics/ceremonial/ships/ora_mirth.png,TRUE,,Unlocked by Default.,by Tartiflette.,,
CPW_bliss_ceremonial,ora_bliss,Ceremonial,graphics/ceremonial/ships/ora_bliss.png,TRUE,,Unlocked by Default.,by Tartiflette.,,
CPW_ascension_ceremonial,ora_ascension,Ceremonial,graphics/ceremonial/ships/ora_ascension.png,TRUE,,Unlocked by Default.,by Tartiflette.,,
#DESTROYER,,,,,,,,,
CPW_harmony_ceremonial,ora_harmony,Ceremonial,graphics/ceremonial/ships/ora_harmony.png,TRUE,,Unlocked by Default.,by Tartiflette.,,
CPW_grace_ceremonial,ora_grace,Ceremonial,graphics/ceremonial/ships/ora_grace.png,TRUE,,Unlocked by Default.,by Tartiflette.,,
CPW_sanctuary_ceremonial,ora_sanctuary,Ceremonial,graphics/ceremonial/ships/ora_sanctuary.png,TRUE,,Unlocked by Default.,by Tartiflette.,,
CPW_communion_ceremonial,ora_communion,Ceremonial,graphics/ceremonial/ships/ora_communion.png,TRUE,,Unlocked by Default.,by Tartiflette.,,
#CRUSIER,,,,,,,,,
CPW_beatitude_ceremonial,ora_beatitude,Ceremonial,graphics/ceremonial/ships/ora_beatitude.png,TRUE,,Unlocked by Default.,by Tartiflette.,,
CPW_revelation_ceremonial,ora_revelation,Ceremonial,graphics/ceremonial/ships/ora_revelation.png,TRUE,,Unlocked by Default.,by Tartiflette.,,
CPW_elevation_ceremonial,ora_elevation,Ceremonial,graphics/ceremonial/ships/ora_elevation.png,TRUE,,Unlocked by Default.,by Tartiflette.,,
CPW_felicity_ceremonial,ora_felicity,Ceremonial,graphics/ceremonial/ships/ora_felicity.png,TRUE,,Unlocked by Default.,by Tartiflette.,,
#CAPITAL,,,,,,,,,
CPW_enlightenment_ceremonial,ora_enlightenment,Ceremonial,graphics/ceremonial/ships/ora_enlightenment.png,TRUE,,Unlocked by Default.,by Tartiflette.,,
CPW_discernment_ceremonial,ora_discernment,Ceremonial,graphics/ceremonial/ships/ora_discernment.png,TRUE,,Unlocked by Default.,by Tartiflette.,,
