id,hullId,name,spriteId,unlockedAutomatically,tags,unlockConditions,description,notes,
# id: Required. The id of the paintjob. Must be unique. Prefix with your mod id.,,,,,,,,,
# hullId: Required. The id of the hull that this paintjob applies to. Must be a valid hull id.,,,,,,,,,
# name: Required. The name of the paintjob.,,,,,,,,,
# spriteId: Required. The path or spriteName of the ship sprite.,,,,,,,,,
# unlockedAutomatically: Optional, default true. If true, the paintjob is unlocked by default. Otherwise, it must be manually unlocked using code (e.g. in achievement complete code).,,,,,,
# tags: Optional, currently unused.,,,,,,,,
# unlockConditions: Optional, default none. How to unlock the paintjob. Aim for one or two sentences.,,,,,,,,
# description: Optional, default none. The description of the paintjob. Aim for one or two sentences.,,,,,,,,
,,,,,,,,,
# Example,,,,,,,,,
# magiclib_examplePaintjob," ""onslaught""",Olslaught,graphics/ships/oldslaught.png,FALSE,,Complete the 'Slayer' achievement to unlock.,Original Onslaught sprite.,multipart ship cannot use.,Missing Skin in Pack.
#FRIGATE,,,,,,,,,
CPW_mirth_imperial,ora_mirth,Imperial,graphics/aquamarine/ships/ora_mirth.png,TRUE,,Unlocked by Default.,by Tartiflette.,,
CPW_bliss_imperial,ora_bliss,Imperial,graphics/imperial/ships/ora_bliss.png,TRUE,,Unlocked by Default.,by Tartiflette.,,
CPW_ascension_imperial,ora_ascension,Imperial,graphics/imperial/ships/ora_ascension.png,TRUE,,Unlocked by Default.,by Tartiflette.,,
#DESTROYER,,,,,,,,,
CPW_harmony_imperial,ora_harmony,Imperial,graphics/imperial/ships/ora_harmony.png,TRUE,,Unlocked by Default.,by Tartiflette.,,
CPW_grace_imperial,ora_grace,Imperial,graphics/imperial/ships/ora_grace.png,TRUE,,Unlocked by Default.,by Tartiflette.,,
CPW_sanctuary_imperial,ora_sanctuary,Imperial,graphics/imperial/ships/ora_sanctuary.png,TRUE,,Unlocked by Default.,by Tartiflette.,,
CPW_communion_imperial,ora_communion,Imperial,graphics/imperial/ships/ora_communion.png,TRUE,,Unlocked by Default.,by Tartiflette.,,
#CRUSIER,,,,,,,,,
CPW_beatitude_imperial,ora_beatitude,Imperial,graphics/imperial/ships/ora_beatitude.png,TRUE,,Unlocked by Default.,by Tartiflette.,,
CPW_revelation_imperial,ora_revelation,Imperial,graphics/imperial/ships/ora_revelation.png,TRUE,,Unlocked by Default.,by Tartiflette.,,
CPW_elevation_imperial,ora_elevation,Imperial,graphics/imperial/ships/ora_elevation.png,TRUE,,Unlocked by Default.,by Tartiflette.,,
CPW_felicity_imperial,ora_felicity,Imperial,graphics/imperial/ships/ora_felicity.png,TRUE,,Unlocked by Default.,by Tartiflette.,,
#CAPITAL,,,,,,,,,
CPW_enlightenment_imperial,ora_enlightenment,Imperial,graphics/imperial/ships/ora_enlightenment.png,TRUE,,Unlocked by Default.,by Tartiflette.,,
CPW_discernment_imperial,ora_discernment,Imperial,graphics/imperial/ships/ora_discernment.png,TRUE,,Unlocked by Default.,by Tartiflette.,,
