id,hullId,name,spriteId,unlockedAutomatically,tags,unlockConditions,description,notes,
# id: Required. The id of the paintjob. Must be unique. Prefix with your mod id.,,,,,,,,,
# hullId: Required. The id of the hull that this paintjob applies to. Must be a valid hull id.,,,,,,,,,
# name: Required. The name of the paintjob.,,,,,,,,,
# spriteId: Required. The path or spriteName of the ship sprite.,,,,,,,,,
# unlockedAutomatically: Optional, default true. If true, the paintjob is unlocked by default. Otherwise, it must be manually unlocked using code (e.g. in achievement complete code).,,,,,,
# tags: Optional, currently unused.,,,,,,,,
# unlockConditions: Optional, default none. How to unlock the paintjob. Aim for one or two sentences.,,,,,,,,
# description: Optional, default none. The description of the paintjob. Aim for one or two sentences.,,,,,,,,
,,,,,,,,,
# Example,,,,,,,,,
# magiclib_examplePaintjob," ""onslaught""",Olslaught,graphics/ships/oldslaught.png,FALSE,,Complete the 'Slayer' achievement to unlock.,Original Onslaught sprite.,multipart ship cannot use.,Missing Skin in Pack.
#FRIGATE,,,,,,,,,
CPW_mirth_irradiated,ora_mirth,Irradiated,graphics/irradiated/ships/ora_mirth.png,TRUE,,Unlocked by Default.,by Tartiflette.,,
CPW_bliss_irradiated,ora_bliss,Irradiated,graphics/irradiated/ships/ora_bliss.png,TRUE,,Unlocked by Default.,by Tartiflette.,,
CPW_ascension_irradiated,ora_ascension,Irradiated,graphics/irradiated/ships/ora_ascension.png,TRUE,,Unlocked by Default.,by Tartiflette.,,
#DESTROYER,,,,,,,,,
CPW_harmony_irradiated,ora_harmony,Irradiated,graphics/irradiated/ships/ora_harmony.png,TRUE,,Unlocked by Default.,by Tartiflette.,,
CPW_grace_irradiated,ora_grace,Irradiated,graphics/irradiated/ships/ora_grace.png,TRUE,,Unlocked by Default.,by Tartiflette.,,
CPW_sanctuary_irradiated,ora_sanctuary,Irradiated,graphics/irradiated/ships/ora_sanctuary.png,TRUE,,Unlocked by Default.,by Tartiflette.,,
CPW_communion_irradiated,ora_communion,Irradiated,graphics/irradiated/ships/ora_communion.png,TRUE,,Unlocked by Default.,by Tartiflette.,,
#CRUSIER,,,,,,,,,
CPW_beatitude_irradiated,ora_beatitude,Irradiated,graphics/irradiated/ships/ora_beatitude.png,TRUE,,Unlocked by Default.,by Tartiflette.,,
CPW_revelation_irradiated,ora_revelation,Irradiated,graphics/irradiated/ships/ora_revelation.png,TRUE,,Unlocked by Default.,by Tartiflette.,,
CPW_elevation_irradiated,ora_elevation,Irradiated,graphics/irradiated/ships/ora_elevation.png,TRUE,,Unlocked by Default.,by Tartiflette.,,
CPW_felicity_irradiated,ora_felicity,Irradiated,graphics/irradiated/ships/ora_felicity.png,TRUE,,Unlocked by Default.,by Tartiflette.,,
#CAPITAL,,,,,,,,,
CPW_enlightenment_irradiated,ora_enlightenment,Irradiated,graphics/irradiated/ships/ora_enlightenment.png,TRUE,,Unlocked by Default.,by Tartiflette.,,
CPW_discernment_irradiated,ora_discernment,Irradiated,graphics/irradiated/ships/ora_discernment.png,TRUE,,Unlocked by Default.,by Tartiflette.,,
